SES_Score,HealthIndicator,cluster
67.0,30.0,0
52.82,27.0,0
71.77000000000001,28.0,1
99.0,27.0,1
68.7,28.0,1
90.06,26.0,1
42.98,29.0,0
47.16,27.0,0
82.56,28.0,1
57.99,26.0,0
72.08,25.0,1
60.26,23.0,0
69.0,27.0,1
44.54,28.0,0
78.79,28.0,1
68.82,26.0,1
42.0,30.0,0
78.55,28.0,1
38.69,29.0,0
42.09,29.0,0
84.37,27.0,1
102.0,29.0,1
63.66,26.0,0
47.25,29.0,0
79.0,26.0,1
68.68,27.0,1
95.42,28.0,1
71.0,29.0,1
82.82,26.0,1
82.43,26.0,1
88.0,27.0,1
64.61,26.0,0
86.01,28.0,1
69.21,22.0,1
54.82,28.0,0
51.42,29.0,0
66.82,29.0,0
79.0,30.0,1
63.0,28.0,0
72.04,29.0,1
50.08,27.0,0
37.85,29.0,0
93.82,26.0,1
42.97,26.0,0
90.72,25.0,1
43.87,29.0,0
51.0,28.0,0
87.77,27.0,1
100.22,26.0,1
48.96,30.0,0
63.1,28.0,0
56.0,29.0,0
47.0,27.0,0
72.84,29.0,1
55.0,26.0,0
58.82,28.0,0
67.27000000000001,29.0,0
89.93,27.0,1
76.02,29.0,1
64.89,29.0,0
64.94,28.0,0
68.15,27.0,1
61.0,29.0,0
67.0,28.0,0
60.0,29.0,0
53.84,28.0,0
71.82,28.0,1
84.77,27.0,1
95.0,27.0,1
37.4,29.0,0
57.0,28.0,0
49.0,26.0,0
91.0,28.0,1
86.0,29.0,1
91.0,27.0,1
37.82,27.0,0
65.78,30.0,0
56.64,29.0,0
88.52,27.0,1
84.92,27.0,1
71.59,28.0,1
42.82,30.0,0
74.55,28.0,1
55.77,28.0,0
77.1,28.0,1
39.42,29.0,0
56.09,29.0,0
78.86,30.0,1
90.0,27.0,1
75.0,28.0,1
29.0,29.0,0
83.0,29.0,1
39.82,29.0,0
53.77,29.0,0
81.0,28.0,1
40.82,28.0,0
46.01,28.0,0
75.82,28.0,1
61.0,29.0,0
50.91,28.0,0
55.0,28.0,0
90.93,27.0,1
37.620000000000005,28.0,0
93.64,26.0,1
87.83,29.0,1
94.41,26.0,1
47.61,29.0,0
89.24,26.0,1
86.69,27.0,1
96.33,26.0,1
43.82,29.0,0
75.49,29.0,1
82.82,35.0,1
39.59,30.0,0
47.81,30.0,0
77.96,27.0,1
47.96,30.0,0
74.91,24.0,1
97.82,27.0,1
52.55,27.0,0
73.4,29.0,1
40.86,30.0,0
74.83,30.0,1
83.91,29.0,1
65.32,27.0,0
38.68,28.0,0
87.75,35.0,1
59.33,25.0,0
97.87,27.0,1
85.96,27.0,1
43.82,27.0,0
91.0,28.0,1
82.34,28.0,1
80.12,28.0,1
65.43,29.0,0
94.96,34.0,1
43.22,28.0,0
55.33,28.0,0
81.57,25.0,1
62.81,29.0,0
42.35,30.0,0
32.7,29.0,0
87.82,24.0,1
58.82,29.0,0
85.09,29.0,1
89.76,29.0,1
38.51,27.0,0
49.26,27.0,0
91.0,26.0,1
88.86,27.0,1
55.32,29.0,0
59.82,30.0,0
89.69,23.0,1
65.58,26.0,0
88.06,29.0,1
96.3,29.0,1
76.62,29.0,1
72.82,27.0,1
74.0,27.0,1
80.0,27.0,1
65.72999999999999,28.0,0
80.93,30.0,1
50.0,28.0,0
38.82,30.0,0
69.32,32.0,1
73.0,29.0,1
83.0,27.0,1
64.92,28.0,0
73.95,27.0,1
88.0,30.0,1
93.58,26.0,1
69.0,29.0,1
51.0,29.0,0
92.82,26.0,1
84.0,29.0,1
81.96,27.0,1
52.92,29.0,0
50.0,29.0,0
94.0,27.0,1
89.8,28.0,1
59.0,29.0,0
99.0,25.0,1
77.26,29.0,1
54.88,28.0,0
41.0,29.0,0
85.12,29.0,1
79.0,30.0,1
92.41,25.0,1
45.0,29.0,0
94.82,27.0,1
45.43,30.0,0
71.0,28.0,1
71.47,27.0,1
93.46,27.0,1
59.97,29.0,0
81.13,29.0,1
97.03,29.0,1
81.0,26.0,1
93.52,26.0,1
81.82,28.0,1
72.82,29.0,1
88.82,27.0,1
61.74,28.0,0
84.0,27.0,1
89.41,22.0,1
65.02,28.0,0
69.06,29.0,1
69.12,29.0,1
68.0,27.0,1
59.019999999999996,28.0,0
92.93,26.0,1
64.74000000000001,26.0,0
90.78,26.0,1
65.21000000000001,29.0,0
51.0,27.0,0
62.0,28.0,0
99.18,28.0,1
93.82,22.0,1
94.62,29.0,1
96.0,27.0,1
65.82,26.0,0
55.82,30.0,0
85.39,26.0,1
41.82,29.0,0
43.12,27.0,0
44.82,30.0,0
93.56,26.0,1
64.58,29.0,0
58.96,26.0,0
38.82,29.0,0
73.8,28.0,1
35.629999999999995,29.0,0
75.28,35.0,1
74.0,28.0,1
90.28,26.0,1
75.0,27.0,1
78.0,28.0,1
86.3,28.0,1
39.18,30.0,0
48.12,25.0,0
39.86,26.0,0
92.26,30.0,1
83.0,30.0,1
46.09,30.0,0
48.0,27.0,0
68.82,26.0,1
102.08,27.0,1
46.82,27.0,0
51.73,28.0,0
41.9,30.0,0
78.7,29.0,1
69.0,30.0,1
70.0,28.0,1
78.83,28.0,1
55.55,27.0,0
95.82,26.0,1
40.02,29.0,0
71.69,28.0,1
42.69,28.0,0
90.82,25.0,1
80.67,28.0,1
97.0,27.0,1
51.0,26.0,0
83.75,29.0,1
38.97,29.0,0
33.08,28.0,0
94.88,28.0,1
79.79,26.0,1
88.61,27.0,1
55.88,27.0,0
65.56,30.0,0
51.92,28.0,0
66.49000000000001,29.0,0
40.82,29.0,0
70.65,29.0,1
48.46,30.0,0
35.4,26.0,0
55.71,30.0,0
93.62,29.0,1
44.05,27.0,0
95.9,28.0,1
50.82,28.0,0
83.0,25.0,1
74.33,28.0,1
62.23,28.0,0
45.82,30.0,0
67.0,29.0,0
39.0,28.0,0
45.33,29.0,0
74.03,28.0,1
91.0,29.0,1
42.94,29.0,0
97.34,21.0,1
77.32,28.0,1
52.82,25.0,0
99.87,28.0,1
43.0,27.0,0
74.82,26.0,1
81.82,27.0,1
35.65,29.0,0
95.0,25.0,1
90.92,27.0,1
78.0,30.0,1
40.82,34.0,0
92.38,29.0,1
94.69,27.0,1
43.42,27.0,0
76.82,25.0,1
94.06,27.0,1
71.82,23.0,1
92.03,28.0,1
83.88,35.0,1
62.79,28.0,0
94.82,29.0,1
94.03,26.0,1
37.129999999999995,29.0,0
60.52,29.0,0
61.79,26.0,0
45.0,28.0,0
86.38,29.0,1
32.21,28.0,0
91.82,25.0,1
75.0,30.0,1
57.42,29.0,0
49.82,29.0,0
53.0,28.0,0
70.14,29.0,1
78.69,27.0,1
72.0,27.0,1
70.71,29.0,1
43.1,27.0,0
74.3,28.0,1
89.54,30.0,1
101.55,22.0,1
44.0,25.0,0
58.82,35.0,0
74.0,30.0,1
78.0,24.0,1
56.06,29.0,0
55.6,27.0,0
39.0,29.0,0
82.32,28.0,1
99.4,30.0,1
36.0,28.0,0
96.58,25.0,1
35.04,30.0,0
81.44,28.0,1
102.0,25.0,1
83.0,28.0,1
58.66,30.0,0
95.77,27.0,1
96.04,26.0,1
47.82,29.0,0
89.47,30.0,1
55.72,28.0,0
85.33,27.0,1
53.0,30.0,0
71.3,28.0,1
45.0,28.0,0
100.82,29.0,1
41.94,28.0,0
37.0,28.0,0
81.32,25.0,1
69.6,29.0,1
77.0,28.0,1
37.0,29.0,0
52.0,28.0,0
54.82,30.0,0
65.88,28.0,0
66.0,28.0,0
54.0,29.0,0
43.47,28.0,0
83.0,28.0,1
49.39,30.0,0
42.79,28.0,0
72.6,27.0,1
74.82,30.0,1
37.9,28.0,0
44.82,27.0,0
72.0,30.0,1
45.55,29.0,0
99.28,28.0,1
55.82,29.0,0
60.05,28.0,0
80.09,24.0,1
67.09,28.0,0
74.02,25.0,1
50.63,30.0,0
42.82,28.0,0
95.82,25.0,1
77.74,27.0,1
96.57,34.0,1
76.6,24.0,1
43.77,29.0,0
70.82,30.0,1
71.75,28.0,1
43.77,29.0,0
97.98,26.0,1
98.55,27.0,1
52.41,27.0,0
88.46,27.0,1
86.0,28.0,1
88.73,27.0,1
63.0,30.0,0
75.32,29.0,1
88.17,29.0,1
84.0,28.0,1
69.53,25.0,1
74.92,22.0,1
58.44,28.0,0
67.6,28.0,0
44.74,30.0,0
70.0,27.0,1
82.0,27.0,1
86.84,27.0,1
70.42,30.0,1
87.55,26.0,1
45.51,27.0,0
101.0,29.0,1
61.88,29.0,0
74.36,30.0,1
43.46,28.0,0
84.82,28.0,1
50.6,28.0,0
50.82,27.0,0
68.85,27.0,1
82.82,25.0,1
61.68,27.0,0
53.98,30.0,0
80.96,30.0,1
41.82,29.0,0
94.0,27.0,1
73.0,28.0,1
41.39,28.0,0
92.0,24.0,1
82.92,29.0,1
66.82,29.0,0
63.82,29.0,0
81.0,28.0,1
77.82,26.0,1
84.0,29.0,1
83.0,28.0,1
43.82,29.0,0
52.21,28.0,0
38.11,28.0,0
85.56,36.0,1
69.34,25.0,1
71.78999999999999,26.0,1
83.29,24.0,1
49.0,28.0,0
76.0,27.0,1
100.0,26.0,1
79.77,28.0,1
70.18,28.0,1
100.0,26.0,1
57.02,30.0,0
93.0,28.0,1
62.0,29.0,0
59.75,27.0,0
58.0,29.0,0
48.47,28.0,0
86.01,27.0,1
93.0,30.0,1
37.92,30.0,0
47.09,28.0,0
62.0,29.0,0
73.71,23.0,1
49.82,29.0,0
58.08,29.0,0
61.54,27.0,0
44.81,30.0,0
42.82,27.0,0
84.82,27.0,1
68.91,25.0,1
74.0,28.0,1
